match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Friday, 28 July",21:00 (IST),Match 2 - Completed ,U Mumba,Puneri Paltan,21- 33,"Gachibowli Indoor Stadium, Hyderabad",21,33,Season 5
"Saturday, 29 July",20:00 (IST),Match 3 - Completed ,Jaipur Pink Panthers,Dabang Delhi K.C.,26- 30,"Gachibowli Indoor Stadium, Hyderabad",26,30,Season 5
"Saturday, 29 July",21:00 (IST),Match 4 - Completed ,Telugu Titans,Patna Pirates,29- 35,"Gachibowli Indoor Stadium, Hyderabad",29,35,Season 5
"Sunday, 30 July",20:00 (IST),Match 5 - Completed ,U Mumba,Haryana Steelers,29- 28,"Gachibowli Indoor Stadium, Hyderabad",29,28,Season 5
"Sunday, 30 July",21:00 (IST),Match 6 - Completed ,Telugu Titans,Bengaluru Bulls,21- 31,"Gachibowli Indoor Stadium, Hyderabad",21,31,Season 5
"Tuesday, 01 August",20:00 (IST),Match 7 - Completed ,Gujarat Fortunegiants,Dabang Delhi K.C.,26- 20,"Gachibowli Indoor Stadium, Hyderabad",26,20,Season 5
"Tuesday, 01 August",21:00 (IST),Match 8 - Completed ,Telugu Titans,U.P. Yoddha,18- 31,"Gachibowli Indoor Stadium, Hyderabad",18,31,Season 5
"Wednesday, 02 August",20:00 (IST),Match 9 - Completed ,Gujarat Fortunegiants,Haryana Steelers,27- 27,"Gachibowli Indoor Stadium, Hyderabad",27,27,Season 5
"Wednesday, 02 August",21:00 (IST),Match 10 - Completed ,Telugu Titans,Bengal Warriors,24- 30,"Gachibowli Indoor Stadium, Hyderabad",24,30,Season 5
"Thursday, 03 August",20:00 (IST),Match 11 - Completed ,Telugu Titans,Patna Pirates,36- 43,"Gachibowli Indoor Stadium, Hyderabad",36,43,Season 5
"Friday, 04 August",20:00 (IST),Match 12 - Completed ,Bengaluru Bulls,Tamil Thalaivas,32- 31,"Mankapur Indoor Stadium, Nagpur",32,31,Season 5
"Friday, 04 August",21:00 (IST),Match 13 - Completed ,Puneri Paltan,Dabang Delhi K.C.,26- 21,"Mankapur Indoor Stadium, Nagpur",26,21,Season 5
"Saturday, 05 August",20:00 (IST),Match 14 - Completed ,U Mumba,Dabang Delhi K.C.,36- 22,"Mankapur Indoor Stadium, Nagpur",36,22,Season 5
"Saturday, 05 August",21:00 (IST),Match 15 - Completed ,Bengaluru Bulls,U.P. Yoddha,27- 32,"Mankapur Indoor Stadium, Nagpur",27,32,Season 5
"Sunday, 06 August",20:00 (IST),Match 16 - Completed ,Bengal Warriors,U.P. Yoddha,40- 20,"Mankapur Indoor Stadium, Nagpur",40,20,Season 5
"Sunday, 06 August",21:00 (IST),Match 17 - Completed ,Bengaluru Bulls,Patna Pirates,32- 46,"Mankapur Indoor Stadium, Nagpur",32,46,Season 5
"Tuesday, 08 August",20:00 (IST),Match 18 - Completed ,Gujarat Fortunegiants,Haryana Steelers,20- 32,"Mankapur Indoor Stadium, Nagpur",20,32,Season 5
"Tuesday, 08 August",21:00 (IST),Match 19 - Completed ,Bengaluru Bulls,Telugu Titans,21- 21,"Mankapur Indoor Stadium, Nagpur",21,21,Season 5
"Wednesday, 09 August",20:00 (IST),Match 20 - Completed ,Bengaluru Bulls,Bengal Warriors,31- 25,"Mankapur Indoor Stadium, Nagpur",31,25,Season 5
