match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Sunday, 07 October",20:00 (IST),Match 1 - Completed ,Tamil Thalaivas,Patna Pirates,42- 26,"Jawaharlal Nehru Indoor Stadium, Chennai",42,26,Season 6
"Sunday, 07 October",21:00 (IST),Match 2 - Completed ,Puneri Paltan,U Mumba,32- 32,"Jawaharlal Nehru Indoor Stadium, Chennai",32,32,Season 6
"Monday, 08 October",20:00 (IST),Match 3 - Completed ,Puneri Paltan,Haryana Steelers,34- 22,"Jawaharlal Nehru Indoor Stadium, Chennai",34,22,Season 6
"Monday, 08 October",21:00 (IST),Match 4 - Completed ,Tamil Thalaivas,U.P. Yoddha,32- 37,"Jawaharlal Nehru Indoor Stadium, Chennai",32,37,Season 6
"Tuesday, 09 October",20:00 (IST),Match 5 - Completed ,Dabang Delhi K.C.,Gujarat Fortunegiants,32- 32,"Jawaharlal Nehru Indoor Stadium, Chennai",32,32,Season 6
"Tuesday, 09 October",21:00 (IST),Match 6 - Completed ,Tamil Thalaivas,Telugu Titans,28- 33,"Jawaharlal Nehru Indoor Stadium, Chennai",28,33,Season 6
"Wednesday, 10 October",20:00 (IST),Match 7 - Completed ,U Mumba,Jaipur Pink Panthers,39- 32,"Jawaharlal Nehru Indoor Stadium, Chennai",39,32,Season 6
"Wednesday, 10 October",21:00 (IST),Match 8 - Completed ,Tamil Thalaivas,Bengaluru Bulls,37- 48,"Jawaharlal Nehru Indoor Stadium, Chennai",37,48,Season 6
"Thursday, 11 October",20:00 (IST),Match 9 - Completed ,U.P. Yoddha,Patna Pirates,41- 43,"Jawaharlal Nehru Indoor Stadium, Chennai",41,43,Season 6
"Thursday, 11 October",21:00 (IST),Match 10 - Completed ,Tamil Thalaivas,Bengal Warriors,27- 36,"Jawaharlal Nehru Indoor Stadium, Chennai",27,36,Season 6
"Friday, 12 October",20:00 (IST),Match 11 - Completed ,Haryana Steelers,Gujarat Fortunegiants,32- 25,"Motilal Nehru School of Sports, Rai, Sonepat",32,25,Season 6
"Friday, 12 October",21:00 (IST),Match 12 - Completed ,Puneri Paltan,Dabang Delhi K.C.,36- 41,"Motilal Nehru School of Sports, Rai, Sonepat",36,41,Season 6
"Saturday, 13 October",20:00 (IST),Match 13 - Completed ,Telugu Titans,U.P. Yoddha,34- 29,"Motilal Nehru School of Sports, Rai, Sonepat",34,29,Season 6
"Saturday, 13 October",21:00 (IST),Match 14 - Completed ,Haryana Steelers,U Mumba,26- 53,"Motilal Nehru School of Sports, Rai, Sonepat",26,53,Season 6
"Sunday, 14 October",20:00 (IST),Match 15 - Completed ,Patna Pirates,U.P. Yoddha,43- 37,"Motilal Nehru School of Sports, Rai, Sonepat",43,37,Season 6
"Sunday, 14 October",21:00 (IST),Match 16 - Completed ,Haryana Steelers,Puneri Paltan,27- 45,"Motilal Nehru School of Sports, Rai, Sonepat",27,45,Season 6
